design_no,laminate_code,page_no,assigned_value,finish_name,laminate
1322,AB,54,1322,,verticalwood
1466,AL,45,1466,,verticalwood
1161 (3),AR,28,11612,,stone solidcolor
1162 (2),AR,28,11622,glossy,stone solidcolor
1620,AR,28,1620,,stone
1630 (2),AR,28,16301,,stone
1669,AS,52,1669,,verticalwood
1670,AS,52,1670,,verticalwood
1675,AS,43,1675,,verticalwood
1676,AS,43,1676,,verticalwood
1677,AS,43,1677,,verticalwood
132 (9),AW,64,132200,,verticalwood solidcolor
491 (2),AW,64,4911,,verticalwood
492 (2),AW,64,4921,,verticalwood
839 (2),AW,64,8391,,verticalwood
1635 (2),BG,29,16351,,stone
1637 (2),BG,29,16371,,stone
1641,BG,35,1641,matt,stone vibrant
1642,BG,35,1642,matt,stone vibrant
1655,BG,29,1655,,stone
1721 (2),BG,30,17211,,vibrant
1722 (2),BG,30,17221,,vibrant
1725,BG,30,1725,,
1654A,BG,29,165410,,
1643,BL,36,1643,matt,leather
1644,BL,36,1644,matt,leather
1743,BM,,1743,,
1744,BM,,1744,,
1745,BM,,1745,,
1746,BM,,1746,,
54,BO,65,54,,
1653,BR,46,1653,,verticalwood
1685,BR,46,1685,,verticalwood
538,BW,66,538,,verticalwood
539,BW,66,539,,verticalwood
540,BW,66,540,,verticalwood
541,BW,66,541,,verticalwood
542,BW,66,542,,horizontalwood exoticwood
568,BW,,568,,
33 (2),CB,73,332,,leather
132 (9),CB,73,1324,,leather solidcolor
460,CC,77,460,,solidcolor vibrant
461,CC,77,461,,solidcolor vibrant
462,CC,77,462,,
463,CC,77,463,,solidcolor vibrant
1551,CE,30,1551,,stone 
1552,CE,30,1552,,stone
1553,CE,30,1553,,stone
26 (2),CF,81,261,,verticalwood
27 (3),CF,81,273,,verticalwood
39,CF,80,39,,verticalwood
40,CF,80,40,,verticalwood
41,CF,80,41,,verticalwood
48 (3),CF,82,483,,verticalwood
103,CF,84,103,,
106,CF,84,106,,solidcolor
109,CF,84,109,,solidcolor
114,CF,84,114,,solidcolor
117,CF,84,117,,solidcolor
127,CF,84,127,,
129 (3),CF,84,1293,,solidcolor
131,CF,84,131,,solidcolor
132 (9),CF,84,1328,,solidcolor
138 (2),CF,84,1382,,solidcolor
150,CF,84,150,,solidcolor
158,CF,84,158,,solidcolor
166,CF,84,166,,solidcolor
168,CF,84,168,,solidcolor
171,CF,84,171,,solidcolor
183,CF,84,183,,solidcolor
184 (2),CF,84,1842,,
187,CF,84,187,,solidcolor
203,CF,84,203,,solidcolor
207,CF,84,207,,solidcolor
209,CF,84,209,,solidcolor
212,CF,84,212,,solidcolor
214,CF,84,214,,solidcolor
216,CF,84,216,,solidcolor
217,CF,84,217,,solidcolor
218,CF,84,218,,
219,CF,84,219,,solidcolor
220,CF,84,220,,solidcolor
224,CF,84,224,,solidcolor
226,CF,84,226,,solidcolor
228,CF,84,228,,solidcolor
229,CF,84,229,,solidcolor
230,CF,84,230,,solidcolor
231 (2),CF,84,2312,,solidcolor
234,CF,84,234,,solidcolor
235,CF,84,235,,solidcolor
236 (2),CF,84,2362,,solidcolor
250 (3),CF,84,2502,,solidcolor
301,CF,77,301,,stone
302,CF,77,302,,stone
440 (3),CF,82,4403,matt,verticalwood
464,CF,77,464,,stone
470,CF,80,470,,verticalwood
471,CF,80,471,,verticalwood
472,CF,82,472,,verticalwood
473,CF,82,473,,verticalwood
474,CF,79,474,,verticalwood
475,CF,79,475,,verticalwood
476,CF,79,476,,verticalwood
477,CF,81,477,,verticalwood
478 (2),CF,82,4782,,horizontalwood
479 (2),CF,82,4792,,horizontalwood
480,CF,81,480,,verticalwood exoticwood
481,CF,79,481,,verticalwood
482,CF,79,482,,verticalwood
483 (2),CF,80,4832,,verticalwood
484 (2),CF,80,4842,,verticalwood
485 (2),CF,81,4852,,verticalwood
486,CF,81,486,,verticalwood
487,CF,79,487,,verticalwood
489,CF,79,489,,verticalwood
490,CF,80,490,,verticalwood
491 (2),CF,79,4912,,verticalwood
492 (2),CF,79,4922,,verticalwood
521,CF,82,521,,verticalwood
563,CF,81,563,,verticalwood
583 (2),CF,80,5832,,verticalwood
589,CF,79,589,,verticalwood
597,CF,81,597,,verticalwood
598,CF,81,598,,verticalwood
812,CF,80,812,,verticalwood
813,CF,80,813,,verticalwood
839 (2),CF,79,8392,,verticalwood
903 (2),CF,82,9032,,horizontalwood
904 (2),CF,82,9042,,horizontalwood
905 (3),CF,82,9053,,horizontalwood
923,CF,81,923,,verticalwood
935,CF,82,935,,verticalwood
952,CF,81,952,,verticalwood
953,CF,81,953,,verticalwood
986 (2),CF,82,9862,,horizontalwood exoticwood
987 (2),CF,82,9872,,horizontalwood exoticwood
992 (2),CF,80,9922,,verticalwood
053A,CF,84,5310,,solidcolor
053D (2),CF,84,53420,,solidcolor
117A,CF,84,11710,,solidcolor
132 (9),CM,84,1329,matt,solidcolor
250 (3),CM,84,2503,matt,solidcolor
1104 (4),CRYSTAL,3,11041,glossy,solidcolor
1105 (2),CRYSTAL,3,11051,glossy,solidcolor
1111 (2),CRYSTAL,4,11111,glossy,solidcolor
1112 (7),CRYSTAL,2,11121,glossy,solidcolor
1119 (2),CRYSTAL,1,11191,glossy,solidcolor
1120 (2),CRYSTAL,1,11201,glossy,solidcolor
1123 (4),CRYSTAL,2,11231,glossy,solidcolor
1141,CRYSTAL,4,1141,glossy,solidcolor
1142,CRYSTAL,4,1142,glossy,solidcolor
1143,CRYSTAL,3,1143,glossy,solidcolor
1161 (3),CRYSTAL,1,11611,matt glossy,solidcolor
1162 (2),CRYSTAL,1,11621,glossy,solidcolor
1163 (2),CRYSTAL,1,11631,glossy,solidcolor
1164 (4),CRYSTAL,1,11641,glossy,solidcolor
1165,CRYSTAL,1,1165,glossy,solidcolor
1166 (5),CRYSTAL,1,11661,glossy,solidcolor
1167,CRYSTAL,1,1167,glossy,solidcolor
1168,CRYSTAL,1,1168,glossy,solidcolor
1169,CRYSTAL,2,1169,glossy,solidcolor
1170,CRYSTAL,2,1170,glossy,solidcolor
1171,CRYSTAL,2,1171,glossy,solidcolor
1172 (2),CRYSTAL,2,11721,glossy,solidcolor
1173,CRYSTAL,4,1173,glossy,solidcolor
1174 (3),CRYSTAL,3,11741,,solidcolor
1175 (4),CRYSTAL,3,11751,glossy,solidcolor
1176 (2),CRYSTAL,3,11761,glossy,solidcolor
1177 (4),CRYSTAL,3,11771,glossy,solidcolor
1178 (2),CRYSTAL,2,11781,glossy,solidcolor
1179 (3),CRYSTAL,2,11791,glossy,solidcolor
1180 (3),CRYSTAL,4,11801,glossy,solidcolor
1181 (2),CRYSTAL,2,11811,glossy,solidcolor
1182,CRYSTAL,3,1182,glossy,solidcolor
1183 (2),CRYSTAL,3,11831,glossy,
1184 (2),CRYSTAL,4,11841,glossy,solidcolor
1185 (3),CRYSTAL,2,11851,glossy,solidcolor
1186 (2),CRYSTAL,4,11861,glossy,solidcolor
1187,CRYSTAL,2,1187,glossy,solidcolor
1188 (2),CRYSTAL,1,11881,glossy,solidcolor
1189,CRYSTAL,1,1189,glossy,solidcolor
1190,CRYSTAL,2,1190,glossy,solidcolor
1201,CRYSTAL,8,1201,glossy,stone vibrant
1202,CRYSTAL,8,1202,glossy,stone vibrant
1203,CRYSTAL,6,1203,glossy,stone
1204,CRYSTAL,6,1204,glossy,stone
1205,CRYSTAL,9,1205,glossy,vibrant
1206,CRYSTAL,9,1206,glossy,vibrant
1207,CRYSTAL,9,1207,glossy,vibrant
1208,CRYSTAL,6,1208,glossy,stone
1209,CRYSTAL,6,1209,glossy,stone
1210 (2),CRYSTAL,12,12101,glossy,verticalwood exoticwood
1211 (2),CRYSTAL,12,12111,glossy,verticalwood exoticwood
1212 (2),CRYSTAL,12,12121,glossy,verticalwood exoticwood
1213 (2),CRYSTAL,8,12131,matt glossy,stone vibrant
1214 (2),CRYSTAL,5,12141,glossy,stone
1215 (2),CRYSTAL,5,12151,glossy,stone vibrant
1221,CRYSTAL,6,1221,glossy,vibrant
1222,CRYSTAL,6,1222,glossy,vibrant
1223,CRYSTAL,7,1223,,
1224,CRYSTAL,7,1224,,
1226,CRYSTAL,6,1226,,
1227 (2),CRYSTAL,8,12271,matt glossy,stone vibrant
1234,CRYSTAL,10,1234,,
1235,CRYSTAL,10,1235,glossy,fabric
1236,CRYSTAL,8,1236,,
1237,CRYSTAL,8,1237,,
1238,CRYSTAL,9,1238,glossy,vibrant
1239,CRYSTAL,9,1239,glossy,vibrant
1240 (2),CRYSTAL,5,12401,glossy,vibrant
1242 (2),CRYSTAL,12,12421,matt glossy,verticalwood exoticwood
1243,CRYSTAL,12,1243,matt glossy,verticalwood exoticwood
1244,CRYSTAL,12,1244,glossy,verticalwood exoticwood
1245 (2),CRYSTAL,12,12451,glossy,verticalwood exoticwood
1246 (2),CRYSTAL,12,12461,glossy,verticalwood exoticwood
1247,CRYSTAL,7,1247,glossy,vibrant
1252,CRYSTAL,10,1252,glossy,
1253,CRYSTAL,10,1253,glossy,
1254,CRYSTAL,10,1254,glossy,
1255,CRYSTAL,10,1255,glossy,
1256,CRYSTAL,10,1256,glossy,
1257,CRYSTAL,10,1257,glossy,
1258 (3),CRYSTAL,10,12581,glossy,solidcolor vibrant
1259 (3),CRYSTAL,10,12591,,solidcolor vibrant
1260 (2),CRYSTAL,10,12601,,solidcolor vibrant
1261 (2),CRYSTAL,11,12611,,exoticwood
1262 (2),CRYSTAL,11,12621,,exoticwood
1263 (2),CRYSTAL,11,12631,,exoticwood
1264 (2),CRYSTAL,7,12641,,stone vibrant
1265 (2),CRYSTAL,7,12651,glossy,vibrant
1271 (2),CRYSTAL,14,12711,,
1272 (2),CRYSTAL,14,12721,,
1273,CRYSTAL,14,1273,,
1274,CRYSTAL,14,1274,,
1275 (2),CRYSTAL,5,12751,,
1278,CRYSTAL,25,1278,,
1279,CRYSTAL,25,1279,,
1280,CRYSTAL,25,1280,,
1104 (4),CRYSTAL mattY+,23,11042,matt,solidcolor
1123 (4),CRYSTAL mattY+,23,11232,matt,solidcolor
1164 (4),CRYSTAL mattY+,23,11643,,
1166 (5),CRYSTAL mattY+,23,11664,matt,solidcolor
1174 (3),CRYSTAL mattY+,23,11743,matt,solidcolor
1176 (2),CRYSTAL mattY+,23,11762,matt,solidcolor
1177 (4),CRYSTAL mattY+,23,11774,matt,solidcolor
1178 (2),CRYSTAL mattY+,23,11782,,
1180 (3),CRYSTAL mattY+,23,11803,matt,solidcolor
1181 (2),CRYSTAL mattY+,23,11812,matt,solidcolor
1185 (3),CRYSTAL mattY+,23,11853,matt,solidcolor
1186 (2),CRYSTAL mattY+,23,11862,matt,solidcolor
1248,CRYSTAL mattY+,21,1248,matt,stone
1249,CRYSTAL mattY+,21,1249,matt,stone
1250,CRYSTAL mattY+,22,1250,matt,stone
1251,CRYSTAL mattY+,22,1251,matt,stone
1258 (3),CRYSTAL mattY+,21,12583,matt,solidcolor vibrant
1259 (3),CRYSTAL mattY+,22,12593,matt,solidcolor vibrant
1265 (2),CRYSTAL mattY+,22,12652,matt,vibrant
1266,CRYSTAL mattY+,23,1266,matt,verticalwood
1270,CRYSTAL mattY+,23,1270,,
1271 (2),CRYSTAL mattY+,24,12712,,
1272 (2),CRYSTAL mattY+,24,12722,,
1275 (2),CRYSTAL mattY+,22,12752,,
1276,CRYSTAL mattY+,21,1276,,
1277,CRYSTAL mattY+,21,1277,,
1281,CRYSTAL mattY+,24,1281,,
1282,CRYSTAL mattY+,,1282,,
1283,CRYSTAL mattY+,,1283,,
1228,CRYSTAL Z+AG,1228,1228,,vibrant
1229,CRYSTAL Z+AG,16,1229,,vibrant
1230,CRYSTAL Z+AG,16,1230,,vibrant
1129 (3),CRYSTAL Z+AM,19,11291,,solidcolor
1175 (4),CRYSTAL Z+AM,19,11752,,solidcolor
1177 (4),CRYSTAL Z+AM,19,11772,,solidcolor
1179 (3),CRYSTAL Z+AM,19,11792,,solidcolor
1180 (3),CRYSTAL Z+AM,19,11802,matt,solidcolor
1183 (2),CRYSTAL Z+AM,19,11832,matt,solidcolor
1214 (2),CRYSTAL Z+BG,5,12142,,stone
1215 (2),CRYSTAL Z+BG,5,12152,,stone vibrant
1240 (2),CRYSTAL Z+BG,5,12402,,stone vibrant
1210 (2),CRYSTAL Z+BR,12,12102,,verticalwood
1211 (2),CRYSTAL Z+BR,12,12112,,verticalwood
1212 (2),CRYSTAL Z+BR,12,12122,,verticalwood
1112 (7),CRYSTAL Z+CN,18,11122,,
1144,CRYSTAL Z+CN,18,1144,,
1146,CRYSTAL Z+CN,18,1146,,
1147,CRYSTAL Z+CN,18,1147,,
1164 (4),CRYSTAL Z+CN,18,11642,,
1166 (5),CRYSTAL Z+CN,18,11662,,
1188 (2),CRYSTAL Z+CN,18,11882,,
1191,CRYSTAL Z+MG,17,1191,,solidcolor
1193 (2),CRYSTAL Z+MG,17,11931,,solidcolor
1194,CRYSTAL Z+MG,17,1194,,solidcolor
1196 (2),CRYSTAL Z+MG,17,11961,,solidcolor
1197 (2),CRYSTAL Z+MG,17,11971,,solidcolor
1198 (2),CRYSTAL Z+MG,17,11981,,solidcolor
1258 (3),CRYSTAL Z+MG,17,12582,,solidcolor
1259 (3),CRYSTAL Z+MG,17,12592,,solidcolor
1260 (2),CRYSTAL Z+MG,17,12602,,solidcolor
1242 (2),CRYSTAL Z+OL,13,12422,,
1245 (2),CRYSTAL Z+OL,13,12452,,
1246 (2),CRYSTAL Z+OL,13,12462,,
1267,CRYSTAL Z+OL,13,1267,,
1268,CRYSTAL Z+OL,13,1268,,
1269,CRYSTAL Z+OL,13,1269,,
1129 (3),CRYSTAL Z+PM,20,11292,,solidcolor
1174 (3),CRYSTAL Z+PM,20,11742,,solidcolor
1175 (4),CRYSTAL Z+PM,20,11754,,solidcolor
1177 (4),CRYSTAL Z+PM,20,11773,,solidcolor
1179 (3),CRYSTAL Z+PM,20,11793,,solidcolor vibrant
1193 (2),CRYSTAL Z+PM,20,11932,,solidcolor
1196 (2),CRYSTAL Z+PM,20,11962,,solidcolor
1197 (2),CRYSTAL Z+PM,20,11972,,solidcolor
1198 (2),CRYSTAL Z+PM,20,11982,,solidcolor
1112 (7),CRYSTAL Z+SS,19,11123,matt,solidcolor
1163 (2),CRYSTAL Z+SS,19,11632,matt,solidcolor
1166 (5),CRYSTAL Z+SS,19,11663,matt,solidcolor
1175 (4),CRYSTAL Z+SS,19,11753,matt,solidcolor
1184 (2),CRYSTAL Z+SS,19,11842,matt,solidcolor
1185 (3),CRYSTAL Z+SS,19,11852,matt,solidcolor
1213 (2),CRYSTAL Z+SV,15,12132,matt,stone vibrant
1227 (2),CRYSTAL Z+SV,15,12272,matt,stone vibrant
1241,CRYSTAL Z+SV,15,1241,matt,stone vibrant
1264 (2),CRYSTAL Z+SV,15,12642,glossy,vibrant
1216,CRYSTAL Z+TT,15,1216,,
1217,CRYSTAL Z+TT,15,1217,,
1218,CRYSTAL Z+TT,16,1218,matt,vibrant
1219,CRYSTAL Z+TT,16,1219,matt,vibrant
1220,CRYSTAL Z+TT,16,1220,matt,vibrant
1231,CRYSTAL Z+TT,16,1231,matt,vibrant
1232,CRYSTAL Z+TT,16,1232,matt,vibrant
1233,CRYSTAL Z+TT,16,1233,matt,vibrant
1261 (2),CRYSTAL Z+VG,11,12612,matt,verticalwood vibrant
1262 (2),CRYSTAL Z+VG,11,12622,matt,verticalwood vibrant
1263 (2),CRYSTAL Z+VG,11,12632,matt,verticalwood vibrant
986 (2),CT,64,9861,,horizontalwood
987 (2),CT,64,9871,,horizontalwood
442,CV,77,442,matt,fabric
532,CV,77,532,matt,fabric
1571,CV,38,1571,matt,fabric
1572,CV,38,1572,matt,fabric
1573,CV,38,1573,matt,fabric
1621,CV,37,1621,matt,fabric
1622,CV,37,1622,matt,fabric
1623,CV,37,1623,matt,fabric
1624,CV,37,1624,matt,fabric
954,CW,61,954,,
1446,DD,29,1446,,stone
81,DJ,85,81,,
82,DJ,85,82,,
1106 (3),DL,59,11063,matt,leather fabric solidcolor
1112 (7),DL,59,11126,matt,leather fabric solidcolor
1370 (2),DL,59,13702,matt,leather fabric solidcolor
1106 (3),EG,38,11062,,fabric solidcolor
1164 (4),EG,38,11644,,fabric solidcolor
1166 (5),EG,38,11665,,fabric solidcolor
1344,EO,54,1344,,verticalwood
1345,EO,54,1345,,verticalwood
996,EP,62,996,,verticalwood exoticwood
997,EP,62,997,,verticalwood exoticwood
998,EP,62,998,,verticalwood exoticwood
1678,ES,40,1678,,verticalwood exoticwood
1679,ES,40,1679,,verticalwood exoticwood
1681,ES,39,1681,,verticalwood exoticwood
1682,ES,39,1682,,verticalwood exoticwood
1683,ES,48,1683,,verticalwood exoticwood
1684,ES,48,1684,,verticalwood exoticwood
1690 (2),ES,39,16901,matt,verticalwood exoticwood
1697,ES,39,1697,,verticalwood
1698,ES,39,1698,matt,verticalwood exoticwood
1699,ES,40,1699,matt,verticalwood exoticwood
1700,ES,40,1700,matt,verticalwood exoticwood
1728,ES,40,1728,,
1729,ES,40,1729,,
1730,ES,40,1730,,
958,EW,63,958,,verticalwood
959,EW,63,959,,verticalwood
960,EW,63,960,,verticalwood
1713,FM,41,1713,,verticalwood
1714,FM,41,1714,,verticalwood
1715,FM,41,1715,,verticalwood
1716,FM,41,1716,,verticalwood
1726,FM,41,1726,,
1727,FM,42,1727,,
1738,FM,41,1738,,
1739,FM,41,1739,,
1751,FM,,1751,,
1752,FM,,1752,,
1753,FM,,1753,,
1754,FM,,1754,,
1755,FM,,1755,,
1756,FM,,1756,,
1123 (4),FO,43,11234,matt,
1680 (2),FO,43,16801,,verticalwood
1686,FO,43,1686,,verticalwood
1687,FO,43,1687,,verticalwood
1496,FT,53,1496,matt,horizontalwood
1497,FT,53,1497,matt,horizontalwood
1507,FT,53,1507,matt,horizontalwood exoticwood
1530,FT,53,1530,matt,horizontalwood
1709,FT,53,1709,matt,horizontalwood
1710,FT,53,1710,matt,horizontalwood
1711,FT,53,1711,matt,horizontalwood
1712,FT,53,1712,matt,horizontalwood
1556,GB,28,1556,,stone
1557,GB,28,1557,,stone
1558,GB,28,1558,,stone
1559,GB,28,1559,,stone
1616,GB,28,1616,,stone
1617,GB,28,1617,,stone
1525 (2),GC,29,15251,,stone
1358,GM,38,1358,glossy,fabric
1512,GM,38,1512,glossy,fabric
1513,GM,38,1513,glossy,fabric
1475,GS,31,1475,,stone
1476,GS,31,1476,,stone
1554 (2),GS,31,15541,,
1555 (2),GS,31,15551,,
1633,GS,31,1633,,stone
1701 (2),GS,31,17011,,vibrant
1702 (2),GS,31,17021,,vibrant
412,HB,63,412,,verticalwood exoticwood
937,HB,63,937,,verticalwood
939,HB,63,939,,verticalwood
132 (9),HC,73,1325,glossy,solidcolor vibrant
905 (3),HC,73,9052,glossy,vibrant
7001,HD,,7001,glossy,stone
